Experiment	bias spectroscopy	
Saved Date	24.08.2023 13:45:47	
User		
Date		
X (m)	710.685E-9	
Y (m)	-755.136E-9	
Z (m)	-55.5922E-9	
Z offset (m)	0E+0	
Settling time (s)	20E-3	
Integration time (s)	150E-3	
Z-Ctrl hold	TRUE	
Final Z (m)	N/A	
Start time	24.08.2023 13:31:28	
Filter type	None	
Order		
Cutoff frq		
Bias>Bias (V)	100E-3	
Bias>Calibration (V/V)	1E+0	
Bias>Offset (V)	-14.8E-3	
Bias Spectroscopy>Sweep Start (V)	140E-3	
Bias Spectroscopy>Sweep End (V)	-140E-3	
Bias Spectroscopy>Num Pixel	900	
Bias Spectroscopy>Z Avg time (s)	50E-3	
Bias Spectroscopy>Z offset (m)	0E+0	
Bias Spectroscopy>1st Settling time (s)	50E-3	
Bias Spectroscopy>Settling time (s)	20E-3	
Bias Spectroscopy>Integration time (s)	150E-3	
Bias Spectroscopy>End Settling time (s)	5E-3	
Bias Spectroscopy>Z control time (s)	200E-3	
Bias Spectroscopy>Max Slew rate (V/s)	29.9999E-3	
Bias Spectroscopy>backward sweep	FALSE	
Bias Spectroscopy>Z-controller hold	TRUE	
Bias Spectroscopy>Number of sweeps	5	
Bias Spectroscopy>Channels	Current (A);LI Demod 1 X (A);LI Demod 1 Y (A)	
Bias Spectroscopy>Reset Bias	TRUE	
Bias Spectroscopy>Record final Z	FALSE	
Bias Spectroscopy>Lock-In run	TRUE	
Current>Current (A)	36.2101E-12	
Current>Calibration (A/V)	1E-9	
Current>Offset (A)	-1.97371E-12	
Current>Gain	LN 10^9	
Lock-in>Lock-in status	OFF	
Lock-in>Modulated signal	Bias (V)	
Lock-in>Frequency (Hz)	187.1E+0	
Lock-in>Amplitude	3E-3	
Lock-in>Demodulated signal	Current (A)	
Lock-in>HP Filter Cutoff D1 (Hz)	155.425E+0	
Lock-in>HP Filter Cutoff D2 (Hz)	310.849E+0	
Lock-in>HP Filter Order D1	OFF	
Lock-in>HP Filter Order D2	OFF	
Lock-in>Harmonic D1	1	
Lock-in>Harmonic D2	2	
Lock-in>Reference phase D1 (deg)	-12.7587E+0	
Lock-in>Reference phase D2 (deg)	179.841E+0	
Lock-in>LP Filter Cutoff D1 (Hz)	310.849E+0	
Lock-in>LP Filter Cutoff D2 (Hz)	310.849E+0	
Lock-in>LP Filter Order D1	OFF	
Lock-in>LP Filter Order D2	OFF	
Lock-in>Sync Filter D1	ON	
Lock-in>Sync Filter D2	ON	
NanonisMain>Session Path	D:\mKSTM Data\2023-08-23	
NanonisMain>SW Version	Generic 5e	
NanonisMain>UI Release	12477	
NanonisMain>RT Release	12477	
NanonisMain>RT Frequency (Hz)	20E+3	
NanonisMain>Signals Oversampling	10	
NanonisMain>Acquisition Period (s)	20E-3	
NanonisMain>Animations Period (s)	20E-3	
NanonisMain>Indicators Period (s)	300E-3	
NanonisMain>Measurements Period (s)	500E-3	
Piezo Configuration>Active Calib.	LT	
Piezo Configuration>Calib. X (m/V)	8.198E-9	
Piezo Configuration>Calib. Y (m/V)	8.198E-9	
Piezo Configuration>Calib. Z (m/V)	1.094E-9	
Piezo Configuration>HV Gain X	14	
Piezo Configuration>HV Gain Y	14	
Piezo Configuration>HV Gain Z	14	
Piezo Configuration>Tilt X (deg)	0.497945	
Piezo Configuration>Tilt Y (deg)	-0.424559	
Piezo Configuration>Curvature radius X (m)	Inf	
Piezo Configuration>Curvature radius Y (m)	Inf	
Piezo Configuration>2nd order corr X (V/m^2)	0E+0	
Piezo Configuration>2nd order corr Y (V/m^2)	0E+0	
Piezo Configuration>Drift X (m/s)	0E+0	
Piezo Configuration>Drift Y (m/s)	0E+0	
Piezo Configuration>Drift Z (m/s)	25E-15	
Piezo Configuration>Drift correction status (on/off)	TRUE	
Scan>Scanfield	710.681E-9;-755.264E-9;2E-9;2E-9;0E+0	
Scan>series name	unnamed	
Scan>channels	Current (A);Z (m)	
Scan>pixels/line	256	
Scan>lines	256	
Scan>speed forw. (m/s)	39.0625E-9	
Scan>speed backw. (m/s)	39.0625E-9	
Z-Controller>Z (m)	-55.5922E-9	
Z-Controller>Controller name	log Current	
Z-Controller>Controller status	OFF	
Z-Controller>Setpoint	10.4047E-12	
Z-Controller>Setpoint unit	A	
Z-Controller>P gain	10E-15	
Z-Controller>I gain	2.00795E-9	
Z-Controller>Time const (s)	4.9802E-6	
Z-Controller>TipLift (m)	0E+0	
Z-Controller>Switch off delay (s)	50E-3	

[DATA]
Bias calc (V)	Current [AVG] (A)	LI Demod 1 X [AVG] (A)	LI Demod 1 Y [AVG] (A)	Current [00001] (A)	LI Demod 1 X [00001] (A)	LI Demod 1 Y [00001] (A)	Current [00002] (A)	LI Demod 1 X [00002] (A)	LI Demod 1 Y [00002] (A)	Current [00003] (A)	LI Demod 1 X [00003] (A)	LI Demod 1 Y [00003] (A)	Current [00004] (A)	LI Demod 1 X [00004] (A)	LI Demod 1 Y [00004] (A)	Current [00005] (A)	LI Demod 1 X [00005] (A)	LI Demod 1 Y [00005] (A)
140.00000E-3	58.759907E-12	1.1895165E-12	34.079761E-15	58.025428E-12	1.1844358E-12	14.184284E-15	58.605586E-12	1.1533689E-12	28.130771E-15	59.786572E-12	1.2124102E-12	24.920019E-15	59.195288E-12	1.1972210E-12	60.965650E-15	58.186674E-12	1.2001468E-12	42.198077E-15
139.68854E-3	58.567540E-12	1.2084835E-12	52.285734E-15	57.559187E-12	1.1855083E-12	46.392056E-15	58.554245E-12	1.2025869E-12	42.639550E-15	59.616388E-12	1.2497481E-12	62.136094E-15	59.059473E-12	1.2191516E-12	56.307843E-15	58.048392E-12	1.1854225E-12	53.953126E-15
139.37709E-3	58.450481E-12	1.1965093E-12	55.929630E-15	57.604536E-12	1.1579722E-12	43.974891E-15	58.381709E-12	1.1745707E-12	69.412385E-15	59.357144E-12	1.2297758E-12	63.378698E-15	58.871276E-12	1.2167417E-12	38.780231E-15	58.037748E-12	1.2034858E-12	64.101949E-15
139.06562E-3	58.323908E-12	1.2174363E-12	40.388859E-15	57.599141E-12	1.2183341E-12	56.119277E-15	58.371329E-12	1.2021156E-12	4.7381045E-15	59.046178E-12	1.1924328E-12	43.190918E-15	58.803011E-12	1.2669349E-12	29.005522E-15	57.799897E-12	1.2073643E-12	68.890464E-15
138.75417E-3	58.158679E-12	1.2070854E-12	40.736162E-15	57.429995E-12	1.2066886E-12	70.497441E-15	58.270729E-12	1.2033236E-12	68.305475E-15	59.154723E-12	1.2433251E-12	28.609276E-15	58.205198E-12	1.2206350E-12	51.794432E-15	57.732756E-12	1.1614547E-12	-15.525812E-15
138.44271E-3	58.098748E-12	1.2094859E-12	29.553881E-15	57.253525E-12	1.1768193E-12	22.559034E-15	58.173202E-12	1.2220650E-12	36.296714E-15	59.090031E-12	1.2425987E-12	15.484091E-15	58.239809E-12	1.1832458E-12	17.726775E-15	57.737166E-12	1.2227007E-12	55.702784E-15
138.13126E-3	57.936045E-12	1.2074512E-12	45.057027E-15	57.203721E-12	1.1835112E-12	52.582230E-15	58.062586E-12	1.2052888E-12	61.941886E-15	58.986385E-12	1.2093602E-12	27.331049E-15	58.104181E-12	1.2229340E-12	31.031330E-15	57.323344E-12	1.2161619E-12	52.398641E-15
