Experiment	bias spectroscopy	
Saved Date	23.08.2023 23:31:07	
User		
Date		
X (m)	708.063E-9	
Y (m)	-756.005E-9	
Z (m)	-55.4532E-9	
Z offset (m)	0E+0	
Settling time (s)	20E-3	
Integration time (s)	150E-3	
Z-Ctrl hold	TRUE	
Final Z (m)	N/A	
Start time	23.08.2023 23:14:37	
Filter type	None	
Order		
Cutoff frq		
Segment Start (V), Segment End (V), Settling (s), Integration (s), Steps (xn), Lockin, Init. Settling (s)	0.1,0.06,5E-5,1.5E-1,50,1,0E+0;0.06,-0.06,5E-5,1.5E-1,700,1,0E+0;-0.06,-0.1,5E-5,1.5E-1,50,1,0E+0	
Bias>Bias (V)	100E-3	
Bias>Calibration (V/V)	1E+0	
Bias>Offset (V)	-14.8E-3	
Bias Spectroscopy>Sweep Start (V)	100E-3	
Bias Spectroscopy>Sweep End (V)	-100E-3	
Bias Spectroscopy>Num Pixel	100	
Bias Spectroscopy>Z Avg time (s)	50E-3	
Bias Spectroscopy>Z offset (m)	0E+0	
Bias Spectroscopy>1st Settling time (s)	50E-3	
Bias Spectroscopy>Settling time (s)	20E-3	
Bias Spectroscopy>Integration time (s)	150E-3	
Bias Spectroscopy>End Settling time (s)	5E-3	
Bias Spectroscopy>Z control time (s)	200E-3	
Bias Spectroscopy>Max Slew rate (V/s)	99.9999E-3	
Bias Spectroscopy>backward sweep	FALSE	
Bias Spectroscopy>Z-controller hold	TRUE	
Bias Spectroscopy>Number of sweeps	8	
Bias Spectroscopy>Channels	Current (A);LI Demod 1 X (A);LI Demod 1 Y (A)	
Bias Spectroscopy>Reset Bias	TRUE	
Bias Spectroscopy>Record final Z	FALSE	
Bias Spectroscopy>Lock-In run	TRUE	
Current>Current (A)	27.8712E-12	
Current>Calibration (A/V)	1E-9	
Current>Offset (A)	-1.97371E-12	
Current>Gain	LN 10^9	
Lock-in>Lock-in status	OFF	
Lock-in>Modulated signal	Bias (V)	
Lock-in>Frequency (Hz)	187.1E+0	
Lock-in>Amplitude	2E-3	
Lock-in>Demodulated signal	Current (A)	
Lock-in>HP Filter Cutoff D1 (Hz)	155.425E+0	
Lock-in>HP Filter Cutoff D2 (Hz)	310.849E+0	
Lock-in>HP Filter Order D1	OFF	
Lock-in>HP Filter Order D2	OFF	
Lock-in>Harmonic D1	1	
Lock-in>Harmonic D2	2	
Lock-in>Reference phase D1 (deg)	-12.7587E+0	
Lock-in>Reference phase D2 (deg)	179.841E+0	
Lock-in>LP Filter Cutoff D1 (Hz)	310.849E+0	
Lock-in>LP Filter Cutoff D2 (Hz)	310.849E+0	
Lock-in>LP Filter Order D1	OFF	
Lock-in>LP Filter Order D2	OFF	
Lock-in>Sync Filter D1	ON	
Lock-in>Sync Filter D2	ON	
NanonisMain>Session Path	D:\mKSTM Data\2023-08-23	
NanonisMain>SW Version	Generic 5e	
NanonisMain>UI Release	12477	
NanonisMain>RT Release	12477	
NanonisMain>RT Frequency (Hz)	20E+3	
NanonisMain>Signals Oversampling	10	
NanonisMain>Acquisition Period (s)	20E-3	
NanonisMain>Animations Period (s)	20E-3	
NanonisMain>Indicators Period (s)	300E-3	
NanonisMain>Measurements Period (s)	500E-3	
Piezo Configuration>Active Calib.	LT	
Piezo Configuration>Calib. X (m/V)	8.198E-9	
Piezo Configuration>Calib. Y (m/V)	8.198E-9	
Piezo Configuration>Calib. Z (m/V)	1.094E-9	
Piezo Configuration>HV Gain X	14	
Piezo Configuration>HV Gain Y	14	
Piezo Configuration>HV Gain Z	14	
Piezo Configuration>Tilt X (deg)	0.497945	
Piezo Configuration>Tilt Y (deg)	-0.424559	
Piezo Configuration>Curvature radius X (m)	Inf	
Piezo Configuration>Curvature radius Y (m)	Inf	
Piezo Configuration>2nd order corr X (V/m^2)	0E+0	
Piezo Configuration>2nd order corr Y (V/m^2)	0E+0	
Piezo Configuration>Drift X (m/s)	0E+0	
Piezo Configuration>Drift Y (m/s)	0E+0	
Piezo Configuration>Drift Z (m/s)	20E-15	
Piezo Configuration>Drift correction status (on/off)	TRUE	
Scan>Scanfield	707.779E-9;-756.169E-9;2E-9;2E-9;0E+0	
Scan>series name	unnamed	
Scan>channels	Current (A);Z (m)	
Scan>pixels/line	256	
Scan>lines	256	
Scan>speed forw. (m/s)	39.0625E-9	
Scan>speed backw. (m/s)	39.0625E-9	
Z-Controller>Z (m)	-55.4532E-9	
Z-Controller>Controller name	log Current	
Z-Controller>Controller status	OFF	
Z-Controller>Setpoint	10.4047E-12	
Z-Controller>Setpoint unit	A	
Z-Controller>P gain	10E-15	
Z-Controller>I gain	2.00795E-9	
Z-Controller>Time const (s)	4.9802E-6	
Z-Controller>TipLift (m)	0E+0	
Z-Controller>Switch off delay (s)	50E-3	

[DATA]
Bias calc (V)	Current [AVG] (A)	LI Demod 1 X [AVG] (A)	LI Demod 1 Y [AVG] (A)	Current [00001] (A)	LI Demod 1 X [00001] (A)	LI Demod 1 Y [00001] (A)	Current [00002] (A)	LI Demod 1 X [00002] (A)	LI Demod 1 Y [00002] (A)	Current [00003] (A)	LI Demod 1 X [00003] (A)	LI Demod 1 Y [00003] (A)	Current [00004] (A)	LI Demod 1 X [00004] (A)	LI Demod 1 Y [00004] (A)	Current [00005] (A)	LI Demod 1 X [00005] (A)	LI Demod 1 Y [00005] (A)	Current [00006] (A)	LI Demod 1 X [00006] (A)	LI Demod 1 Y [00006] (A)	Current [00007] (A)	LI Demod 1 X [00007] (A)	LI Demod 1 Y [00007] (A)	Current [00008] (A)	LI Demod 1 X [00008] (A)	LI Demod 1 Y [00008] (A)
100.00000E-3	42.869083E-12	818.42345E-15	23.486109E-15	40.634007E-12	771.09104E-15	16.214635E-15	42.340360E-12	797.01556E-15	54.315720E-15	42.905356E-12	820.06629E-15	31.735773E-15	43.739564E-12	805.69796E-15	9.6680502E-15	44.710288E-12	859.73183E-15	-2.2922806E-15	44.140691E-12	880.30391E-15	44.911571E-15	42.943933E-12	811.20462E-15	21.963381E-15	41.538460E-12	802.27659E-15	11.372025E-15
99.183679E-3	42.559484E-12	807.65342E-15	30.052621E-15	40.345491E-12	804.16533E-15	22.955304E-15	41.977047E-12	787.95932E-15	30.103764E-15	42.476040E-12	816.32070E-15	38.772110E-15	43.510858E-12	800.86908E-15	29.802854E-15	44.396774E-12	855.82756E-15	25.224992E-15	43.794246E-12	813.91279E-15	20.559631E-15	42.718485E-12	811.40910E-15	45.805743E-15	41.256932E-12	770.76350E-15	27.196558E-15
98.367348E-3	42.199719E-12	802.46866E-15	31.594712E-15	39.938750E-12	738.16143E-15	23.425421E-15	41.706548E-12	752.48298E-15	72.159848E-15	42.030240E-12	810.60131E-15	28.270451E-15	43.255545E-12	812.25868E-15	2.7518184E-15	43.991595E-12	845.95308E-15	6.9147992E-15	43.461817E-12	854.06850E-15	39.578434E-15	42.290591E-12	831.78494E-15	13.332094E-15	40.922678E-12	774.43829E-15	66.324835E-15
97.551018E-3	41.859231E-12	794.31313E-15	30.288123E-15	39.561729E-12	728.40513E-15	49.444142E-15	41.244824E-12	799.27325E-15	10.748197E-15	41.681526E-12	791.01705E-15	21.895588E-15	42.905748E-12	837.72637E-15	30.079976E-15	43.783730E-12	831.43372E-15	28.292837E-15	43.118023E-12	791.00154E-15	12.182113E-15	42.010995E-12	774.57734E-15	47.555842E-15	40.567268E-12	801.07064E-15	42.106279E-15
96.734695E-3	41.571330E-12	816.50035E-15	33.418950E-15	39.363804E-12	772.80820E-15	11.680882E-15	40.984424E-12	819.72943E-15	9.9812863E-15	41.473623E-12	829.95693E-15	26.863697E-15	42.516875E-12	812.87928E-15	25.901068E-15	43.419410E-12	816.64032E-15	86.975694E-15	42.717767E-12	822.19263E-15	22.064493E-15	41.686606E-12	829.44757E-15	40.304911E-15	40.408128E-12	828.34857E-15	43.579561E-15
95.918372E-3	41.179334E-12	815.27927E-15	31.560465E-15	38.933131E-12	763.85832E-15	21.881272E-15	40.616378E-12	779.11825E-15	25.842028E-15	40.954309E-12	798.43353E-15	25.904241E-15	42.161673E-12	839.55347E-15	29.074362E-15	43.018554E-12	857.62533E-15	23.493960E-15	42.375003E-12	846.46564E-15	43.239399E-15	41.373328E-12	825.88461E-15	32.293253E-15	40.002304E-12	811.29482E-15	50.755210E-15
95.102042E-3	40.805401E-12	813.58574E-15	36.982590E-15	38.673256E-12	773.03479E-15	47.853790E-15	40.063099E-12	793.07931E-15	44.494149E-15	40.618162E-12	804.20870E-15	34.144833E-15	41.658024E-12	824.50355E-15	28.433751E-15	42.709516E-12	845.80362E-15	57.750218E-15	42.073851E-12	813.68370E-15	32.158920E-15	40.959840E-12	842.89438E-15	35.864236E-15	39.687444E-12	811.47773E-15	15.160822E-15
